City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,butaritari,3.0707,172.7902,27.32,75,96,8.59,KI,1674217225
84,kamiiso,41.8167,140.65,-1.62,92,95,2.46,JP,1674217225
85,ryotsu,38.0833,138.4333,3.35,64,87,15.88,JP,1674216993
86,belmonte,-15.8631,-38.8828,26.62,73,99,0.88,BR,1674217226
87,dikson,73.5069,80.5464,-28.03,75,33,11.12,RU,1674217226
88,changde,29.0464,111.6783,10.67,27,97,3.08,CN,1674217226
89,mataura,-46.1927,168.8643,10.47,77,62,1.87,NZ,1674217226
90,zamora,-4.0692,-78.9567,18.66,100,100,0.4,EC,1674217226
91,hobart,-42.8794,147.3294,16.26,83,75,1.54,AU,1674216963
92,rio gallegos,-51.6226,-69.2181,15.03,63,0,6.17,AR,1674217227
93,kitui,-1.367,38.0106,26.54,42,58,4.43,KE,1674216968
94,hithadhoo,-0.6,73.0833,26.34,77,100,4.76,MV,1674217227
95,torbay,47.6666,-52.7314,0.22,95,100,7.6,CA,1674217228
96,victoria,22.2855,114.1577,18.47,74,45,0.89,HK,1674217194
97,fort nelson,58.8053,-122.7002,-13.23,85,40,1.54,CA,1674217228
98,slobodskoy,58.7322,50.1772,-3.86,85,100,5.18,RU,1674217229
99,harnai,30.1005,67.9374,11.98,39,60,1.92,PK,1674217229
100,fortuna,40.5982,-124.1573,1.31,100,0,4.63,US,1674217229
101,liverpool,53.4106,-2.9779,7.83,79,20,3.6,GB,1674216945
102,garhi yasin,27.9069,68.511,20.01,29,5,1.71,PK,1674217229
103,ust-kulom,61.6864,53.6902,-3.15,92,99,4.19,RU,1674217229
104,ler,8.3018,30.1418,36.84,12,100,3.3,SS,1674217230
105,sakakah,29.9697,40.2064,22.76,31,79,5.2,SA,1674217230
106,ilulissat,69.2167,-51.1,-34.74,74,35,2.53,GL,1674217230
107,tilichiki,60.4667,166.1,-33.08,93,21,5.0,RU,1674217230
108,kozulka,50.0351,23.797,0.89,91,100,4.4,UA,1674217231
109,cap-aux-meules,47.3821,-61.8597,-1.97,86,100,6.69,CA,1674217231
110,kodiak,57.79,-152.4072,1.73,93,100,3.6,US,1674217231
111,bandarbeyla,9.4942,50.8122,25.89,65,50,10.38,SO,1674217231
112,lasa,46.6166,10.7002,2.61,79,69,3.58,IT,1674217232
113,east london,-33.0153,27.9116,24.52,83,100,3.09,ZA,1674217098
114,egvekinot,66.3167,-179.1667,-31.44,90,100,2.31,RU,1674217232
115,barrow,71.2906,-156.7887,-19.99,77,100,6.69,US,1674217233
116,hasaki,35.7333,140.8333,7.38,49,0,3.51,JP,1674217233
117,ahuimanu,21.4447,-157.8378,23.53,85,20,3.13,US,1674217233
118,bodden town,19.2833,-81.25,22.74,78,20,0.0,KY,1674217234
119,bethel,41.3712,-73.414,3.9,87,95,1.71,US,1674217234
120,turukhansk,65.8167,87.9833,-38.08,83,2,2.77,RU,1674217234
121,villa carlos paz,-31.4241,-64.4978,29.66,41,9,0.89,AR,1674217234
122,storforshei,66.4043,14.5233,0.92,100,75,0.0,NO,1674217235
123,clyde river,70.4692,-68.5914,-29.87,69,100,2.57,CA,1674217235
124,sainte-marie,-20.8968,55.5496,30.09,82,100,5.14,RE,1674217027
125,yeniseysk,58.4497,92.1703,-36.4,94,63,1.89,RU,1674217235
126,anahuac,27.2333,-100.15,15.2,50,100,3.57,MX,1674217236
127,dunkwa,5.9656,-1.78,36.3,36,36,0.5,GH,1674217236
128,tranas,58.0372,14.9782,0.77,82,99,1.66,SE,1674217236
129,bilma,18.6853,12.9164,26.09,8,1,4.66,NE,1674217236
130,norman wells,65.282,-126.8329,-28.98,76,0,2.06,CA,1674217236
131,deputatskiy,69.3,139.9,-35.87,97,53,1.87,RU,1674217236
132,turan,16.0678,108.2208,21.99,68,75,4.63,VN,1674217237
133,upernavik,72.7868,-56.1549,-29.04,87,100,4.83,GL,1674217237
134,yuli,9.6989,10.2744,35.25,11,16,3.1,NG,1674217237
135,tazmalt,36.3868,4.3989,8.59,97,100,2.39,DZ,1674217238
136,le vauclin,14.5452,-60.8388,26.03,69,20,8.23,MQ,1674217238
137,saint-pierre,-21.3393,55.4781,29.82,66,40,2.57,RE,1674217238
138,pevek,69.7008,170.3133,-34.97,98,82,6.29,RU,1674217239
139,jamestown,42.097,-79.2353,1.12,72,100,8.23,US,1674217240
140,comodoro rivadavia,-45.8667,-67.5,19.92,77,0,3.6,AR,1674217240
141,bluff,-46.6,168.3333,13.37,70,90,6.19,NZ,1674217240
142,yellowknife,62.456,-114.3525,-19.71,84,0,2.06,CA,1674217224
143,nortelandia,-14.4547,-56.8028,26.27,72,64,1.75,BR,1674217240
144,gumdag,39.2061,54.5906,3.07,46,0,6.38,TM,1674217241
145,vila velha,-20.3297,-40.2925,27.97,77,20,5.66,BR,1674217241
146,seydi,39.4816,62.9137,-1.66,53,48,1.71,TM,1674217242
